name,inPort,outPort,capacity,source,preference
lee-inflow,lee,lee-abstraction,,-,1
model-inflow,thames-upstream,thames-hogsmill-junction,,-,1
hogsmill-river-inflow,hogsmill-river,hogsmill-junction,,-,1
hogsmill-to-thames,hogsmill-junction,thames-hogsmill-junction,,-,1
thames-to-teddington,thames-hogsmill-junction,thames-at-teddington,,-,1
thames-to-crane,thames-at-teddington,thames-mogden-mixer,,-,1
lee-incremental-flows,lea-bridge-incremental,lee-deephams-mixer,,-,1
lee-flow-1,lee-abstraction,lee-deephams-mixer,,-,1
crane-to-thames,crane,thames-mogden-mixer,,-,1
thames-incremental-1,beverley-brent-incremental,thames-wandle-mixer,,-,1
wandle-flow,wandle,wandle-beddington-mixer,,-,1
wandle-to-thames,wandle-beddington-mixer,thames-wandle-mixer,,-,1
thames-flow-5,thames-mogden-mixer,thames-wandle-mixer,,-,1
ravensbourne-to-thames,ravensbourne,thames-lee-ravensbourne-mixer,,-,1
thames-flow-6,thames-wandle-mixer,thames-lee-ravensbourne-mixer,,-,1
lee-to-thames,lee-deephams-mixer,thames-lee-ravensbourne-mixer,,-,1
thames-incremental-2,thames-at-dartford-incremental,thames-estuary-mixer,,-,1
thames-flow-7,thames-lee-ravensbourne-mixer,thames-central-wwtw-mixer,,-,1
thames-flow-8,thames-central-wwtw-mixer,thames-estuary-mixer,,-,1
thames-outflow,thames-estuary-mixer,ocean-waste,,-,1
beckton-drained-stormwater,beckton-land,beckton-sewerage,,-,1
beddington-mixed-stormwater,beddington-land,beddington-house-sewerage,,-,0.3
beddington-drained-stormwater,beddington-land,beddington-storm-sewerage,,-,0.7
crossness-drained-stormwater,crossness-land,crossness-sewerage,,-,1
deephams-mixed-stormwater,deephams-land,deephams-house-sewerage,,-,0.3
deephams-drained-stormwater,deephams-land,deephams-storm-sewerage,,-,0.7
hogsmill-mixed-stormwater,hogsmill-land,hogsmill-house-sewerage,,-,0.3
hogsmill-drained-stormwater,hogsmill-land,hogsmill-storm-sewerage,,-,0.7
longreach-mixed-stormwater,longreach-land,longreach-house-sewerage,,-,0.3
longreach-drained-stormwater,longreach-land,longreach-storm-sewerage,,-,0.7
mogden-mixed-stormwater,mogden-land,mogden-house-sewerage,,-,0.3
