name,key,value,unit,source
beckton-land,area,304382663,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
beckton-land,runoff_coef,0.45,%/100,OS mastermap & HR Wallingford runoff categories
beckton-land,type,Land,-,-
beckton-rainfall,area,304382663,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
beckton-rainfall,data_input,beckton-rainfall,-,HadUK https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/haduk-grid
beckton-rainfall,type,Inflow,-,-
beckton-sewerage,capacity,2556.814369,Ml/hr,12mm/hr * runoff coef
beckton-sewerage,leakage,5,%,est
beckton-sewerage,type,Sewerage,-,-
beckton-wwtw,stormwater_capacity,400,Ml,est - other storm tanks are ~2x hourly treatment capacity
beckton-wwtw,treatment_capacity,170,Ml/hr,https://www.whatdotheyknow.com/request/capacity_of_londons_sewage_treat
beckton-wwtw,type,Wwtw,-,-
beddington-land,area,103264481,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
beddington-land,runoff_coef,0.3,%/100,OS mastermap & HR Wallingford runoff categories
beddington-land,type,Land,-,-
beddington-rainfall,area,103264481,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
beddington-rainfall,data_input,beddington-rainfall,-,HadUK https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/haduk-grid
beddington-rainfall,type,Inflow,-,-
beddington-house-sewerage,capacity,99.13390176,Ml/hr,12mm/hr * runoff coef
beddington-house-sewerage,leakage,5,%,est
beddington-house-sewerage,type,Sewerage,-,-
beddington-storm-sewerage,capacity,396.535607,Ml/hr,12mm/hr * runoff coef
beddington-storm-sewerage,leakage,5,%,est
beddington-storm-sewerage,type,Sewerage,-,-
beddington-wwtw,stormwater_capacity,25.9,Ml,https://www.wandletrust.org/wp-content/uploads/2014/10/WCP_Section_4_-_Water_Quantity_and_Flow.pdf
beddington-wwtw,treatment_capacity,11,Ml/hr,https://www.whatdotheyknow.com/request/capacity_of_londons_sewage_treat
beddington-wwtw,type,Wwtw,-,-
beverley-brent-incremental,data_input,beverley-brent,-,NRFA https://nrfa.ceh.ac.uk/
beverley-brent-incremental,type,Inflow,-,-
crossness-land,area,229511349,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
crossness-land,runoff_coef,0.41,%/100,OS mastermap & HR Wallingford runoff categories
crossness-land,type,Land,-,-
crossness-rainfall,area,229511349,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
crossness-rainfall,data_input,crossness-rainfall,-,HadUK https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/haduk-grid
crossness-rainfall,type,Inflow,-,-
crossness-sewerage,capacity,1927.895332,Ml/hr,12mm/hr * runoff coef
crossness-sewerage,leakage,5,%,est
crossness-sewerage,type,Sewerage,-,-
crossness-wwtw,stormwater_capacity,79,Ml,https://infrastructure.planninginspectorate.gov.uk/wp-content/ipc/uploads/projects/WW010001/WW010001-001266-8.2.3_Objectives_and_Compliance_Working_Group_Report_Volume_2.pdf
crossness-wwtw,treatment_capacity,50,Ml/hr,https://www.whatdotheyknow.com/request/capacity_of_londons_sewage_treat
crossness-wwtw,type,Wwtw,-,-
deephams-land,area,199008953,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
deephams-land,runoff_coef,0.34,%/100,OS mastermap & HR Wallingford runoff categories
deephams-land,type,Land,-,-
deephams-rainfall,area,199008953,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
deephams-rainfall,data_input,deephams-rainfall,-,HadUK https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/haduk-grid
deephams-rainfall,type,Inflow,-,-
deephams-storm-sewerage,capacity,1012.557553,Ml/hr,12mm/hr * runoff coef
deephams-storm-sewerage,leakage,5,%,est
deephams-storm-sewerage,type,Sewerage,-,-
deephams-house-sewerage,capacity,253.1393882,Ml/hr,12mm/hr * runoff coef
deephams-house-sewerage,leakage,5,%,est
deephams-house-sewerage,type,Sewerage,-,-
deephams-wwtw,stormwater_capacity,45,Ml,est - other storm tanks are ~2x hourly treatment capacity
deephams-wwtw,treatment_capacity,22,Ml/hr,https://www.whatdotheyknow.com/request/capacity_of_londons_sewage_treat
deephams-wwtw,type,Wwtw,-,-
hogsmill-land,area,92597375,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
hogsmill-land,runoff_coef,0.32,%/100,OS mastermap & HR Wallingford runoff categories
hogsmill-land,type,Land,-,-
hogsmill-rainfall,area,92597375,m2,Traced from https://www.thameswater.co.uk/-/media/Site-Content/Thames-Water/London2100/London-2100-Case-for-change.pdf
hogsmill-rainfall,data_input,hogsmill-rainfall,-,HadUK https://www.metoffice.gov.uk/research/climate/maps-and-data/data/haduk-grid/haduk-grid
hogsmill-rainfall,type,Inflow,-,-
hogsmill-river,data_input,hogsmill-river,-,NRFA https://nrfa.ceh.ac.uk/
hogsmill-river,type,Inflow,-,-
hogsmill-storm-sewerage,capacity,355.57392,Ml/hr,12mm/hr * runoff coef
hogsmill-storm-sewerage,leakage,5,%,est
